2023-05-20 17:45:10.870 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2023-05-20 17:45:16.326 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'reactorDeferringLoadBalancerExchangeFilterFunction' of type [org.springframework.cloud.client.loadbalancer.reactive.DeferringLoadBalancerExchangeFilterFunction] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-05-20 17:45:16.616 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8085 (http)
2023-05-20 17:45:16.631 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8085"]
2023-05-20 17:45:16.632 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-05-20 17:45:16.632 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.69]
2023-05-20 17:45:16.792 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-05-20 17:45:16.792 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3193 ms
2023-05-20 17:45:17.467 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
2023-05-20 17:45:18.631 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Start completed.
2023-05-20 17:45:18.632 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [master] success
2023-05-20 17:45:18.632 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource initial loaded [1] datasource,primary datasource named [master]
2023-05-20 17:45:19.339 [main] INFO  o.s.cloud.openfeign.FeignClientFactoryBean - For 'flycloud-mall' URL not provided. Will try picking an instance via load-balancing.
2023-05-20 17:45:20.468 [main] INFO  c.a.n.p.auth.spi.client.ClientAuthPluginManager - [ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.impl.NacosClientAuthServiceImpl success.
2023-05-20 17:45:20.468 [main] INFO  c.a.n.p.auth.spi.client.ClientAuthPluginManager - [ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.ram.RamClientAuthServiceImpl success.
2023-05-20 17:45:20.886 [main] INFO  com.fly.common.redis.config.RedisConfiguration - 初始化 redis 配置
2023-05-20 17:45:20.949 [main] INFO  org.redisson.Version - Redisson 3.20.0
2023-05-20 17:45:21.855 [redisson-netty-2-8] INFO  o.r.connection.pool.MasterPubSubConnectionPool - 1 connections initialized for 106.15.42.115/106.15.42.115:6379
2023-05-20 17:45:22.069 [redisson-netty-2-3] INFO  org.redisson.connection.pool.MasterConnectionPool - 8 connections initialized for 106.15.42.115/106.15.42.115:6379
2023-05-20 17:45:22.777 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@22ed2886, org.springframework.security.web.context.SecurityContextPersistenceFilter@6b756a62, org.springframework.security.web.header.HeaderWriterFilter@eb6ccbc, org.springframework.security.web.authentication.logout.LogoutFilter@78e7b83, org.springframework.security.oauth2.provider.authentication.OAuth2AuthenticationProcessingFilter@1b53e6fc, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@6e0f259e, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@fdf029a, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@30ca66c5, org.springframework.security.web.session.SessionManagementFilter@24ee6faa, org.springframework.security.web.access.ExceptionTranslationFilter@49322d04, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@30e15628]
2023-05-20 17:45:24.210 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2023-05-20 17:45:24.629 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8085"]
2023-05-20 17:45:24.680 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8085 (http) with context path ''
2023-05-20 17:45:24.792 [main] INFO  c.a.cloud.nacos.registry.NacosServiceRegistry - nacos registry, DEFAULT_GROUP flycloud-system 192.168.16.182:8085 register finished
2023-05-20 17:45:24.839 [main] INFO  com.fly.SystemApplication - Started SystemApplication in 15.593 seconds (JVM running for 16.712)
2023-05-20 17:45:24.891 [main] INFO  c.a.cloud.nacos.refresh.NacosContextRefresher - listening config: dataId=application-datasource.yaml, group=DEFAULT_GROUP
2023-05-20 17:45:24.891 [main] INFO  c.a.cloud.nacos.refresh.NacosContextRefresher - listening config: dataId=flycloud-system.yaml, group=DEFAULT_GROUP
2023-05-20 17:45:24.892 [main] INFO  c.a.cloud.nacos.refresh.NacosContextRefresher - listening config: dataId=application-common.yaml, group=DEFAULT_GROUP
2023-05-20 17:45:24.892 [main] INFO  c.a.cloud.nacos.refresh.NacosContextRefresher - listening config: dataId=flycloud-system, group=DEFAULT_GROUP
2023-05-20 17:45:24.894 [main] INFO  c.a.cloud.nacos.refresh.NacosContextRefresher - listening config: dataId=flycloud-system-dev.yaml, group=DEFAULT_GROUP
2023-05-20 17:45:25.327 [RMI TCP Connection(9)-127.0.0.1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-05-20 17:45:25.327 [RMI TCP Connection(9)-127.0.0.1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-05-20 17:45:25.331 [RMI TCP Connection(9)-127.0.0.1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 3 ms
2023-05-20 18:28:30.660 [nacos.client.cachedata.internal.notifier] INFO  o.s.c.b.c.PropertySourceBootstrapConfiguration - Located property source: [BootstrapPropertySource {name='bootstrapProperties-flycloud-system-dev.yaml,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-flycloud-system.yaml,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-flycloud-system,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-application-datasource.yaml,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-application-common.yaml,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-application-dev.yaml,DEFAULT_GROUP'}]
2023-05-20 18:28:30.668 [nacos.client.cachedata.internal.notifier] INFO  org.springframework.boot.SpringApplication - The following 1 profile is active: "dev"
2023-05-20 18:28:30.691 [nacos.client.cachedata.internal.notifier] INFO  org.springframework.boot.SpringApplication - Started application in 1.062 seconds (JVM running for 2602.596)
2023-05-20 18:28:30.989 [nacos.client.cachedata.internal.notifier] INFO  o.s.cloud.endpoint.event.RefreshEventListener - Refresh keys changed: [easy-es.global-config.db-config.refresh-policy, easy-es.connectionRequestTimeout, easy-es.global-config.db-config.id-type, easy-es.socketTimeout, easy-es.global-config.db-config.map-underscore-to-camel-case, easy-es.global-config.db-config.enable-must2-filter, easy-es.maxConnPerRoute, easy-es.schema, easy-es.connectTimeout, easy-es.global-config.asyncProcessIndexBlocking, easy-es.keep-alive-millis, easy-es.enable, easy-es.address, easy-es.global-config.db-config.enable-track-total-hits, easy-es.requestTimeout, easy-es.global-config.print-dsl, easy-es.global-config.db-config.field-strategy, easy-es.maxConnTotal]
2023-05-20 20:55:33.501 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2023-05-20 20:55:33.974 [main] INFO  c.a.n.p.auth.spi.client.ClientAuthPluginManager - [ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.impl.NacosClientAuthServiceImpl success.
2023-05-20 20:55:33.975 [main] INFO  c.a.n.p.auth.spi.client.ClientAuthPluginManager - [ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.ram.RamClientAuthServiceImpl success.
2023-05-20 20:55:37.779 [main] INFO  o.s.c.b.c.PropertySourceBootstrapConfiguration - Located property source: [BootstrapPropertySource {name='bootstrapProperties-flycloud-test-dev.yaml,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-flycloud-test.yaml,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-flycloud-test,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-application-datasource.yaml,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-application-common.yaml,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-application-dev.yaml,DEFAULT_GROUP'}]
2023-05-20 20:55:37.804 [main] INFO  com.fly.test.TestApplication - The following 1 profile is active: "dev"
2023-05-20 20:55:39.953 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-05-20 20:55:39.958 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-05-20 20:55:39.998 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 11 ms. Found 0 Redis repository interfaces.
2023-05-20 20:55:40.520 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=a6316c25-d29b-3efc-a42e-5e0d8cce456c
2023-05-20 20:55:40.870 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.commons.config.CommonsConfigAutoConfiguration' of type [org.springframework.cloud.commons.config.CommonsConfigAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-05-20 20:55:40.873 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.client.loadbalancer.LoadBalancerDefaultMappingsProviderAutoConfiguration' of type [org.springframework.cloud.client.loadbalancer.LoadBalancerDefaultMappingsProviderAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-05-20 20:55:40.874 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'loadBalancerClientsDefaultsMappingsProvider' of type [org.springframework.cloud.client.loadbalancer.LoadBalancerDefaultMappingsProviderAutoConfiguration$$Lambda$534/1824931880] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-05-20 20:55:40.876 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'defaultsBindHandlerAdvisor' of type [org.springframework.cloud.commons.config.DefaultsBindHandlerAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-05-20 20:55:40.882 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'lock4j-com.baomidou.lock.spring.boot.autoconfigure.Lock4jProperties' of type [com.baomidou.lock.spring.boot.autoconfigure.Lock4jProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-05-20 20:55:40.884 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.baomidou.lock.spring.boot.autoconfigure.LockAutoConfiguration' of type [com.baomidou.lock.spring.boot.autoconfigure.LockAutoConfiguration$$EnhancerBySpringCGLIB$$dbcb583f] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-05-20 20:55:40.916 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'lockKeyBuilder' of type [com.baomidou.lock.DefaultLockKeyBuilder] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-05-20 20:55:40.919 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'lockFailureStrategy' of type [com.baomidou.lock.DefaultLockFailureStrategy] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-05-20 20:55:40.920 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'lockInterceptor' of type [com.baomidou.lock.aop.LockInterceptor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-05-20 20:55:40.922 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'lockAnnotationAdvisor' of type [com.baomidou.lock.aop.LockAnnotationAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-05-20 20:55:40.941 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'spring.datasource.dynamic-com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceProperties' of type [com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-05-20 20:55:40.947 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceAutoConfiguration' of type [com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceAutoConfiguration$$EnhancerBySpringCGLIB$$16bfe261] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-05-20 20:55:40.963 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'dsProcessor' of type [com.baomidou.dynamic.datasource.processor.DsHeaderProcessor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-05-20 20:55:41.012 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration' of type [org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-05-20 20:55:41.015 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration$ReactorDeferringLoadBalancerFilterConfig' of type [org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration$ReactorDeferringLoadBalancerFilterConfig] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-05-20 20:55:41.018 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'reactorDeferringLoadBalancerExchangeFilterFunction' of type [org.springframework.cloud.client.loadbalancer.reactive.DeferringLoadBalancerExchangeFilterFunction] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-05-20 20:55:41.418 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8099 (http)
2023-05-20 20:55:41.433 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8099"]
2023-05-20 20:55:41.434 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-05-20 20:55:41.434 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.69]
2023-05-20 20:55:41.619 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-05-20 20:55:41.619 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3774 ms
2023-05-20 20:55:42.271 [main] INFO  o.s.cloud.openfeign.FeignClientFactoryBean - For 'flycloud-system' URL not provided. Will try picking an instance via load-balancing.
2023-05-20 20:55:44.173 [main] INFO  c.a.n.p.auth.spi.client.ClientAuthPluginManager - [ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.impl.NacosClientAuthServiceImpl success.
2023-05-20 20:55:44.174 [main] INFO  c.a.n.p.auth.spi.client.ClientAuthPluginManager - [ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.ram.RamClientAuthServiceImpl success.
2023-05-20 20:55:44.491 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
2023-05-20 20:55:45.375 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Start completed.
2023-05-20 20:55:45.377 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [master] success
2023-05-20 20:55:45.377 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource initial loaded [1] datasource,primary datasource named [master]
2023-05-20 20:55:45.698 [main] INFO  com.fly.common.redis.config.RedisConfiguration - 初始化 redis 配置
2023-05-20 20:55:45.878 [main] INFO  org.redisson.Version - Redisson 3.20.0
2023-05-20 20:55:46.826 [redisson-netty-2-4] INFO  o.r.connection.pool.MasterPubSubConnectionPool - 1 connections initialized for 106.15.42.115/106.15.42.115:6379
2023-05-20 20:55:46.976 [redisson-netty-2-3] INFO  org.redisson.connection.pool.MasterConnectionPool - 8 connections initialized for 106.15.42.115/106.15.42.115:6379
2023-05-20 20:55:48.036 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource start closing ....
2023-05-20 20:55:48.037 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown initiated...
2023-05-20 20:55:48.275 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown completed.
2023-05-20 20:55:48.275 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource all closed success,bye
2023-05-20 20:55:48.591 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2023-05-20 20:55:48.616 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2023-05-20 20:56:50.372 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2023-05-20 20:56:50.931 [main] INFO  c.a.n.p.auth.spi.client.ClientAuthPluginManager - [ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.impl.NacosClientAuthServiceImpl success.
2023-05-20 20:56:50.932 [main] INFO  c.a.n.p.auth.spi.client.ClientAuthPluginManager - [ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.ram.RamClientAuthServiceImpl success.
2023-05-20 20:56:54.591 [main] INFO  o.s.c.b.c.PropertySourceBootstrapConfiguration - Located property source: [BootstrapPropertySource {name='bootstrapProperties-flycloud-test-dev.yaml,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-flycloud-test.yaml,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-flycloud-test,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-application-datasource.yaml,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-application-common.yaml,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-application-dev.yaml,DEFAULT_GROUP'}]
2023-05-20 20:56:54.602 [main] INFO  com.fly.test.TestApplication - The following 1 profile is active: "dev"
2023-05-20 20:56:55.633 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-05-20 20:56:55.636 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-05-20 20:56:55.664 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 8 ms. Found 0 Redis repository interfaces.
2023-05-20 20:56:56.005 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=ba8f3efa-3e44-3527-9aa3-f0e93909d1d7
2023-05-20 20:56:56.272 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.commons.config.CommonsConfigAutoConfiguration' of type [org.springframework.cloud.commons.config.CommonsConfigAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
